CVE_CUENTA,CVE_PERIODO,CVE_ESTADO,CVE_MUNICIPIO,CVE_INSTITUCION,CUENTAS_NOMINA,CUENTAS_TOTALES,CUENTAS_MA,CUNETAS_NIVEL1,CUENTAS_NIVEL2,CUENTAS_NIVEL3,CUENTAS_NIVEL4,CUENTAS_AHORRO,CUENTAS_PLAZOFIJO,,,,,,,,
"1,000,147",202005,3,3008,40002,16284,65600,49316,0,20402,0,45198,1,733,,,,,,,,
"1,000,148",202005,3,3008,40012,27474,56834,29360,0,9325,0,47509,0,39,,,,,,,,
"1,000,149",202005,3,3008,40014,35838,52818,16980,0,59,1348,51411,1,1286,,,,,,,,
"1,000,150",202005,3,3008,40021,9208,20386,11178,0,0,0,20386,0,123,,,,,,,,
"1,000,151",202005,3,3008,40036,54,869,815,0,28,0,841,0,4,,,,,,,,
"1,000,152",202005,3,3008,40042,0,675,675,0,0,0,675,0,21,,,,,,,,
"1,000,153",202005,3,3008,40044,1271,7172,5901,0,23,0,7149,0,99,,,,,,,,
"1,000,154",202005,3,3008,40058,0,1877,1877,0,184,0,1693,0,53,,,,,,,,
"1,000,155",202005,3,3008,40072,30918,49931,19013,0,12284,1385,36262,0,500,,,,,,,,
"1,000,156",202005,3,3008,40112,0,398,398,0,0,0,398,0,36,,,,,,,,
"1,000,157",202005,3,3008,40127,847,17743,16896,0,0,0,17743,0,61,,,,,,,,
"1,000,158",202005,3,3008,40130,0,1258,1258,0,7,0,1251,0,182,,,,,,,,
"1,000,159",202005,3,3008,40136,0,2596,2596,0,0,0,2596,0,119,,,,,,,,
"1,000,160",202005,3,3008,40137,1266,49407,48141,0,0,0,49407,0,39,,,,,,,,
"1,000,161",202005,3,3008,40143,0,286,286,0,0,0,286,0,48,,,,,,,,
"1,000,162",202005,3,3009,40002,8,165,157,0,158,0,7,0,0,,,,,,,,
"1,000,163",202005,3,3009,40012,3276,7167,3891,0,518,1,6648,0,3,,,,,,,,
"1,000,164",202005,3,3009,40127,219,1700,1481,0,0,0,1700,0,8,,,,,,,,
"1,000,165",202005,4,4001,40002,4234,8635,4401,0,2018,0,6617,0,279,,,,,,,,
