ID_CAPTACION,CVE_PERIODO,CVE_ESTADO,CVE_MUNICIPIO,CVE_INSTITUCION,SALDO_NOMINA,SALDO_TRANS_TOTAL,SALDO_TRANS_MA,SALDO_TRANS_N1,SALDO_TRANS_N2,SALDO_TRANS_N3,SALDO_TRANS_N4,SALDO_AHORRO,SALDO_PLAZO_FIJO
2000391,202005,4,4007,40002,0,27875,27875,0,27875,0,0,0,0
2000392,202005,4,4007,40012,17531741,74886027,57354286,0,1026790,0,73859237,0,899994
2000393,202005,4,4007,40127,0,2268,2268,0,0,0,2268,0,0
2000399,202005,4,4008,40002,0,140070,140070,0,140070,0,0,0,0
2000403,202005,4,4009,40002,25551454,137882937,112331483,0,728133,0,137154804,0,27080724
2000404,202005,4,4009,40012,39259822,198322880,159063058,0,5803238,8141,192511501,0,11263297
2000405,202005,4,4009,40127,417972,91209177,90791205,0,0,0,91209177,0,1719905
2000406,202005,4,4009,40130,0,538029,538029,0,0,0,538029,0,192682
2000407,202005,4,4009,40137,339951,94422689,94082738,0,0,0,94422689,0,376021
2000408,202005,4,4009,40151,0,106461,106461,0,0,0,106461,0,11314
2000416,202005,4,4010,40002,0,47060,47060,0,47060,0,0,0,0
2000417,202005,4,4010,40127,646581,42429813,41783232,0,0,0,42429813,0,5055721
2000423,202005,4,4011,40002,0,116251,116251,0,116251,0,0,0,0
2000424,202005,4,4011,40127,59967,57695230,57635263,0,0,0,57695230,0,1306159
2000430,202005,5,5001,40002,0,26094,26094,0,26094,0,0,0,0
2000434,202005,5,5002,40002,52663037,225000451,172337414,0,4563300,0,220437151,0,34140712
2000435,202005,5,5002,40012,144736992,306806862,162069870,130,4193487,0,302613245,0,4312417
2000436,202005,5,5002,40014,58917270,205689628,146772358,0,34499,74839,205580290,0,41758946
2000437,202005,5,5002,40021,33130920,162596359,129465439,0,0,0,162596359,0,64628719
2000438,202005,5,5002,40036,653150,27108686,26455536,0,10308,0,27098378,0,6499706
2000439,202005,5,5002,40044,29349259,180920550,151571291,0,17417,0,180903133,0,101558287
2000440,202005,5,5002,40072,143001682,775986592,632984910,0,8861872,3865319,763259401,0,169911831
2000441,202005,5,5002,40127,154421,48252789,48098368,0,0,0,48252789,0,1315794
2000442,202005,5,5002,40130,0,5793479,5793479,0,11583,0,5781896,0,566827
2000443,202005,5,5002,40131,0,10619833,10619833,0,0,0,10619833,0,22341185
2000444,202005,5,5002,40137,412885,83027173,82614288,0,0,0,83027173,0,1797351
2000450,202005,5,5003,40002,0,228773,228773,0,228773,0,0,0,0
2000451,202005,5,5003,40012,78440597,175596004,97155407,0,2497722,0,173098282,0,12290339
2000452,202005,5,5003,40014,41311961,138640512,97328551,0,1315,62346,138576851,4,63288152
2000453,202005,5,5003,40072,14813382,110440955,95627573,0,664890,237602,109538463,0,230545170
2000454,202005,5,5003,40127,23293,4603412,4580119,0,0,0,4603412,0,2796931
2000455,202005,5,5003,40131,0,1910516,1910516,0,0,0,1910516,0,4390490
2000461,202005,5,5004,40002,0,271467,271467,0,271467,0,0,0,0
2000462,202005,5,5004,40127,0,892643,892643,0,0,0,892643,0,0
2000463,202005,5,5004,40150,0,0,0,0,0,0,0,0,900830
2000471,202005,5,5005,40002,0,33170,33170,0,33170,0,0,0,0
2000475,202005,5,5006,40002,0,502615,502615,0,502615,0,0,0,0
2000476,202005,5,5006,40062,2396007,17586466,15190459,0,0,0,17586466,0,10564464
2000477,202005,5,5006,40127,342149,19689959,19347810,0,0,0,19689959,0,171096
2000485,202005,5,5007,40002,0,227350,227350,0,227350,0,0,0,0
2000486,202005,5,5007,40014,14841477,82333792,67492315,0,0,7,82333785,0,42897058
2000490,202005,5,5008,40002,0,47559,47559,0,47559,0,0,0,0
2000494,202005,5,5009,40002,0,1652914,1652914,0,1652914,0,0,0,0
2000495,202005,5,5009,40021,7683758,60188084,52504326,0,0,0,60188084,0,80095819
2000496,202005,5,5009,40127,204486,75962792,75758306,1206,0,0,75961586,0,13348292
2000497,202005,5,5009,40130,0,2682407,2682407,0,4816,0,2677591,0,1349294
2000498,202005,5,5009,40131,0,59004452,59004452,0,0,0,59004452,0,56047111
2000499,202005,5,5009,40137,236482,23544676,23308194,0,0,0,23544676,0,0
2000505,202005,5,5010,40002,0,1544038,1544038,0,1544038,0,0,0,0
2000506,202005,5,5010,40012,70948380,160509307,89560927,0,1743553,2110,158763644,0,3928122
2000507,202005,5,5010,40014,54006587,166557991,112551404,0,27266,0,166530725,0,107123471
2000508,202005,5,5010,40021,29872911,288121103,258248192,0,0,0,288121103,0,45079816
2000509,202005,5,5010,40036,0,4201239,4201239,0,0,0,4201239,0,22522
2000510,202005,5,5010,40127,95149,40732176,40637027,0,0,0,40732176,0,7705099
